2,The River of Doubt: expedition and metaphor,"The River of Doubt is about both a journey of geographic exploration, and the challenges that people set for themselves. This expedition is as much about the individuals who took part as it is about the exploration of the river.Reading the book gave me a taste of the Amazonian rainforest, the dangers of unknown exploration and a sense of the courage of most of the participants.Clearly, both Theodore Roosevelt and Colonel Candido Mariano da Silva Rondon were extraordinarily talented men.It left me with a sense of sadness that this triumphant achievement did not bring a greater sense of fulfillment to most of the survivors.Jennifer Cameron-Smith"
1,Many errors in both the book and the CD,"After reading the first few sections of the book, I abandoned it for more accurate resources due to the sheer number of factual and typographical errors I had found. The CD-based quiz also contained many errors--including test questions where interpretation of an EKG was required, but an image of an X-ray was shown, or vice versa. Out of 8 image interpretation questions, I counted only one where the picture matched the question stem and choices. Also, many of the ""explanation"" windows for the test questions did not really address why each choice was right or wrong, but just added another piece of trivia about the disorder. I feel the editing of both the book and CD need work, and the explanations for the answers should be more detailed. At most, this item could be used as an outline for study, while using other sources to check facts."
1,Screwed up mess of a movie,"I can't recall the last time I gave up on a movie ... I usually will suffer through anything just to get to the end. But I had to stop halfway through this.The ""official"" review says it gives a fresh perpective on what the future may look like, or some such nonsense. Give me a break.Good for kids? Whatever the producers were aiming at, I didn't get it, and I doubt my adopted 4 or 6 year old daughters would either. They would get the early scene about the main character's despair over ever being adopted, then they would have quickly lost interest in the confusing dialog that follows for the next 45 minutes and simply have been left with a very negative message about adoption.If I could give this a zero, I would."
1,this Hatchet needs to be replaced,"Oh the mere thought of someone trying to replace Danny Joe Brown just makes my skin crawl.Hey guys ya ever thought about Joe Lyn Turner from Rainbow[JUST KIDDING}Every song is bland obnoxious noise,and I feel pity on anyone who would spend their hard earn money to see them live let alone buy their cd's.Please REPLACE the singer before you guys bury yourself so deep there's no getting out."
1,A fine book with social flaws,"Hengeller is not only a redundant writer but an extremely poor one. If you need a sleeping pill, I urge you to read this book.It has some scholarly value. I'll give it that much. But with all the more interesting works done on the same subject matter, who really cares to read this. The only people who should read this must really love this subject, anyone else should consider this a rip off."
1,Makes a great Sieve!,"What's that? You didn't buy a $300 sieve? Oh. Sorry they accidentally wrote ""pool"" instead of sieve on the box. First time, the box was missing half the pieces. Returned and got a new one. Set the thing up on the perfectly level ground they demand. Notice a couple rivulets of water coming from underneath. Nothing major. Never owned a pool before so maybe it's to be expected? Couple days go by. Kid has been in the pool for a total of 5 minutes. Gets out...brand new leak! Big one this time, water draining all over the place. By tomorrow it'll be completely useless.Like paying tons of money for a pool and for the water to fill it and for all the chlorine and filters only to have a giant sieve in your back yard? Like having your kid cry because their birthday present is a complete piece of garbage? Go for it!"
1,Amateur advice,If you are an amateur this book is OK. If you want more advanced advice and great pictures to look at there are better choices. The book is also very dated and needs an update to cover digital cameras.
2,Completely satisfied!,"I have long been a huge fan of Lost In Space, and now I have converted my collection from VHS to DVD."
1,Stay Away,"All this is is a motivtional book. This book is filled with all sorts of just fluff and filler. It has a little bit of fitness and food advice, but not near enough to warrent even 2 stars. I feel very [disappointed] by this book. Buyer beware, and I'm advising you to beware."
1,Save your money,The locking mechanisms are flimsy.The handle dips deep into the cake space so a two layer cake (even a thin one) won't fit. It's fine for a single layer.The bottom has cracked diagonally through the center.
1,A map,This map is just too small. Names of most streets do not appear on it which makes it useless to find exacltly where you are. Additional information such as public toilets seem a good idea until you realized that you find them everywhere in Istanbul while according to the map there is only one place for the whole city! In conclusion I found this map useful only the first day as a reminder of the layout of the city and never used it again.
1,Outdated,"Product was dry and flaky. Outdated. Maybelline had a great product in this mascara, it is a shame they have discontinued it."
2,Good product,"This seeds produced a good crop of wheatgrass without any mold on the soil. This is an indication it is really organic.Compared to other brands of seeds, these seeds were very small and produced thin blades of grass. My other brands which are supposed to be organic produce mold on the soil, so not sure what is going on. Very confusing. But for the price, you get a good dependable product and I would order from them again."
2,Great gloves for cold water sports (rafting),"I used these gloves for rafting the Colorado River 220 miles in Grand Canyong May 24-June 1. Water was very cold (40s) and gloves kept my hands dry and warm. I ordered ""small"" size, assuming men's small. I normally wear women's ""large"" and they fit perfectly. Price is very reasonable compared to other gloves I considered. Reviews were very helpful. Great product. Highly recommend them."
2,Joyful ocean journey,"I would rank Dean Evenson and Hilary Stagg up top for their uplifting joyfilled music. Ocean Dreams imprints so well the ""joy of life"" of ocean creatures and our joy at being near the ocean. The musicians play so well together and have many more outstanding CD's which take you to special places in nature. I highly recommend this CD. Incredible to listen to on earphones, you feel as though you are adrift! I also recommend Hilary Stagg - Beyond the Horizon."
1,wrong product ordered and could not cancel,"I orded the Van Halen CD which was in Japaneese by mistake. It said I could cancel at anytime, so when I reviewed my purchase and seen it was wrong I tried to cancel it and was told I couldn't cancel. I wanted to order the vinyl album. When the CD arrived it had a return slip with it. I haven't had time to return it yet, but it is a hassel for me. Amazon should not say you can cancel at anytime and then not let you.Very unsatisified,Ronda Glazier"
1,Pretty bad,"This tastes nothing like miso or ramen so I'm not sure why they bothered labeling it as such. It does turn into a soupy substance when you add your own water though. So, how does it taste you ask? Bad. Not inedibly bad but bad nonetheless. The two things that immediately popped into my mind were 1) What's the point? and 2) So this must be what meals in 3rd world prisons taste like. This is not a product for someone who actually enjoys food."
1,Nice effect but be warned...,...that the lens does not maintain the shape you select. The photos of the lens show it bent over so I thought that it would keep it's shape but was surprised when I received it--it is like a big spring that wants to return to it's normal shape. You need to keep your hands on it to maintain the position and any slight movement will change the effect. I returned it and will be buying the 3G that will allow the shape to be locked in.
1,not pleased with flow rate,"I have had this faucet about a month. The flow rate in shower mode is fine, but the regular flow has always seemed less compared to my past faucet. After two weeks of operation, the flow even got worse and has a pulsating effect. It looks nice, but am not that pleased with its operation."
2,Throw away your bubbling tablets!,"This by far and away a superior product.I've been wearing dentures for over 10 years due to cancer. My dentures only looked this good when they were brand new!No brushing, no scrubbing, 30 minute soak and YAY! Ultra-Clean.There is no comparision at all, buy this stuff!"
2,Good Book on Eastern Front Luftwaffe,"I learned a lot about the Eastern Front Luftwaffe. It is as much a study in the personalities as it is a history, strategy book."
1,I Want More Dean and Less Kemper,"For a book supposedly about Dean Kamen's quest to change the world, it is surprisingly more about the author and less about his subject. I was hoping for a great book about Dean Kamen - his work with FIRST (www.usfirst.org) and how he truly has changed at least a part of this worold. Instead I got the story of Steve Kemper. Wait for the real story."
2,Emma Stone,Besides having some great performances from Jesse Eisenberg and Woody Harrelson it has Emma Stone in it. What other reason do you need to watch this?
1,Detailed but turgid,"I had great expectations for this book, having read all of Neal Stephenson's previous books, but was disappointed by this. Although he has obviously invested immense hours in research, the book comes across as stiff and overly ornate - much like baroque design.In particular, Stephenson's smart-alecky dialogue, that worked to great effect in Snow Crash, is merely grating here, as are the anachronisms that the characters utter from time to time.As for the characters themselves, I found it very difficult to care about any of them, which made it very difficult to involve myself in the story.I really had to wonder what the benefit was of creating a gargantuan work that appeared to say so little; as if mere volume could substitute for depth."
2,Friggin Dope!,This group is hands down one of the most unique aruond. Funky Electronic beats and dope sounds through each track.
1,Useless,"It is much like a tens unit, a tens unit has pads that make your muscles jump to make them stronger in the healing process after a surgery or during rehab. It is mich like that accept the only contact point is right in the very front of the belt."
2,Garth Nix really did it this time.,"This book is about a boy named, Arthur, who recieves a key and an atlas from a mysterious man named Mister Monday. Later that week a plague hits the town, Arthur has to unravel the mysteries of the key to save his family and friends. This is a great book, I can't wait to read the second book in this series, Grim Tuesday."
1,Beastly bad film,"Concept is familiar -- man turns into a monster, not too different from old werewolf films. But this film has no appeal whatsoever. The writing and the acting are so wooden that it is impossible to care about any of the characters. It's not scary, it's not funny, it's just a boring waste of time. How did something this amateurish ever get OK'd and produced? (On the other hand, it is kind of fun to think about a double-feature pairing ""Track of the Moon Beast"" with 1959's similarly plotted but not as awful ""The Hideous Sun Demon."")"
1,"Not for action, disappointing","This case does not work well for running or other vigorous activity. Case attaches to armband with belt clip, the result is high profile and unstable and looks way un-cool overall. Maybe not bad to use with the belt clip while walking. Adds a lot of bulk to what is already a bulky player. Note that case does not look like the main photo on Amazon."
1,weird size bushings required,these require special size bushings not standard stuff & thur hard to find & ranchos service sux i'd recomend gettin another brand
1,What a mess!,"ohmigod....I love this movie, but thank God I didn't buy the Limited Edition version of the DVD. A friend of mine wasn't so lucky.I've seen it up close and I can't imagine what they were thinking. You have to play an unending stream of nightmarish games to use the DVD!The disc with the movie is easy enough to figure if you work it out logically. You'll be shown a quickly edited series of words. Then the DVD will ask you which word wasn't shown to you in the sequence. To start the movie, pick the word ""Watch"" out of the menu. Movie will play.But put in the Special Features DVD and it's just dumb luck if you find ANYTHING. In fact, by the time you see something, you'll be so annoyed you can't enjoy it.I know they were trying to simulate psychological tests or perhaps the experience of having no memory. But they went too far. It's infuriating, it's monotonous and it's not worth [the money] for the aggravation. Rent it - Don't buy it!"
1,Worse than a waste of money,"Save your money and luggage space by getting a universal adapter for the country you're visiting and plug your existing Garmin-compatible charger into that. Or just let the Garmin charge in a vehicle if you're not using only the pedestrian mode. This charger works only for the Garmin...you have to waste precious luggage space for a device that ONLY works for your Garmin and, if you get a general-purpose converter, you don't even need this item."
1,Better Pocket Books Out there,"This book is way overpriced @ $7.50. It lacks any detail whatsoever and is written at 1st year medical student level....really. Save your money and get the Tarascon critical care pocket guide, that will give you more bang for your buck."
2,I love this camera,"There are some things I wish were different, but they're relatively minor. First I'd like to say that the lack of RAW format is not a big deal. This is after all a compact, point-and-shoot camera. I get the feeling that the reviewers complaining about the lack of RAW probably wouldn't use it anyway. I think some of them just want to show off how sophisticated they are. I wish the battery could be removed without first removing the quick-release mount. I wish the grip were better, especially a place to put my thumb. The shutter is loud and a remote would be great to have. I use an inexpensive monopod for stability. The camera is tough and rugged and it takes really nice photos, and I like the included software."
2,THIS GAME IS THE LORD OF ALL VIDEO GAMES,"Activision and Neversoft have done it again. This game is sweet. The graphics ase crysal clear. There are hundreds of tricks you can pull of. And the Revert is great. You can now link vert trick. The best part are the new skaters. Like Bam Margera and the secret skater Darth Maul. Wondering about the sound track. You get Motorhead, Alien Ant Farm, The Ramones and the Red Hot Chili Peppers!"
1,"""Just ok""","Memoir was an ok book. To me the author kept going back and forth to much between cells and there was really no prison love there it was all a fantasy. Like i like him and wonder do he know i should show him i do kind of love. When and if you read it you will say to your self all he do is change cells in this book and that there really is no love story behind those bars. That is it. It's ""JUST OK"". I thought it would be similar to ""IN LOVE WITH A THUG"" but is nothing like it. That was a great book. I am currently reading ""Smoking Cigarette's"""
2,Entirely plausible theory,"Enjoyed this book very much. My only complaint is that the editing needs a lot of work. There are many, many errors in spelling, syntax, grammar and formatting."
1,The worst of RHCP,"This is a terrible album. It is quite boring and don't compare to Blood Sugar Sex Magik. They went from being totally original on BSSM and One Hot Minute to being completely generic on Californication. If you want real RHCP, listen to their old stuff."
2,Low-Carb cooking is so easy,"I purchased Low-Carb cookbook last week. I love it. I am looking forwardto purchasing more. I just wanted to thank you. I have been like many in a rut and fixing the same ole stuff day in and out. Over this past week Ihave fixed several wonderful meals using your cookbook. Thanks for adifferent approach to cooking. I could not believe how easy low-carb cooking would be. Less than seven ingredients in under 30 minutes, who could not ask for better.Lynn"
2,Short but good,"Catseye is set in a plausible post stardrive civilization, with a good portrayal of society's darker side. A young man is forced into the role of hero through his psyonic ability to ""talk"" to gengineared animal. Around this main theme is woven darker plots: exploitation of the poor, war crimes, debauchery, and government's abusing rights. It is short, sweet, and worth writing about!"
1,Required Reading,I purchased this for a class I took. Not the type of book I normally read; I will resell ASAP.
2,three stooges goofs on the loose,this dvd has color/blk and white and a must have for any three stoogesfan
2,"Okay, some good some bad","This cd has it's highlights, but not good enough for 5 stars. The songs i did like were GREAT but the ones that werent were BAD. So it's an okay cd but not great by all means, but worth the price. But, it is the best soundtrack i can think of to date."
